pid,slopes,pe_spatial
101,0.0341249471723331,-3.232557037
102,0.038467598326209,1.258513323
103,0.0266215476259482,-3.439028434
104,0.032160314854929,10.94936562
105,0.0320592859306623,6.861154062
106,0.0284298671547633,7.485906635
107,0.0269784588678117,3.617678825
108,0.0261763669937061,-1.981437454
109,0.0323178144897334,3.171626924
110,0.00724864514744843,-5.32727878
111,0.0073065240387801,8.426187115
112,0.0215694210523496,4.754632694
113,0.0273344795830194,1.27672654
114,0.0169461533626216,0.5318085177
115,0.0245068894550197,2.95743888
116,-0.0014172375621738,-1.004013922
117,-0.00824716883596716,-0.8829727301
118,0.0281047035267831,0.2311331114
119,0.0256836811583688,-5.235102372
120,0.0177597932225149,8.700278367
122,0.0238580362015506,11.26705604
123,0.00517223798810746,-3.5611306
124,0.0324362158356143,-2.610672055
125,0.0131041196176383,-0.7659938314
126,-0.00232683755348801,-1.998639004
127,0.00944115331524497,3.577882402
128,0.00603492726885092,-3.090115428
129,0.034158918413302,8.669365181
130,0.00844340307148717,3.015867906
131,0.0130251422136588,0.6124696789
132,0.0270356172260313,1.706081386
133,0.0214003161524962,1.761280779
134,-0.00148090030645676,-4.009106606
135,0.0219187008358577,1.385900546
139,0.0276872896833731,10.1742474
140,0.0328085179471714,0.02047570156
141,-0.00356339917764147,2.19733807
142,0.00626763113997374,-4.787684373
143,0.0118115447793495,-6.154737639
144,0.0307417093388291,-0.6033272307
145,0.0198994763624775,4.180321114
146,0.016873550240111,-0.9831726807
147,0.0333612753282996,8.120274095
148,0.0331292871375135,8.730104123
149,0.0145183062726732,-1.183773393
150,0.0322727209860636,7.909455052
151,-0.00167687883601606,3.022379205
152,0.0239146838758592,2.14281322
