"euc","temp","comp","mt","id"
-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.694501187630261,101
-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.694501187630261,101
-1.45462039973151,-1.02963445215086,-1.19868949664786,-0.694501187630261,101
-0.263584200038639,-1.03559967872481,-1.26632583026812,-2.09668525851845,101
-0.0417237739382841,-3.31266323801357,-1.69960049317557,-1.06476417801332,101
-0.00902006927853535,-0.056142169176315,-0.0317256199787937,-0.694501187630261,101
-0.0184197217464618,-0.101127786865543,-0.0314914729670764,-0.304198010082128,101
-1.62354235070697,-1.37168942939296,-1.60197750641699,-1.22319257759123,101
-0.639381646602424,-0.530528893925377,-0.409646678126994,-0.222101017914758,101
-0.011710115994602,-0.0950047670535473,-0.0598374609400095,-0.251041021878019,101
-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.691795138534086,101
-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.691795138534086,101
-0.841097792534449,-0.751418649094574,-1.09896742060179,-0.691795138534086,101
-0.0309182361819435,-0.0342534329630202,-0.0248663013460256,-0.124330409811204,101
-0.0203010147736041,-0.0885840988102043,-0.0422262697932661,-0.691795138534086,101
-0.468531383808557,-2.05614236893488,-1.04304573536984,-0.731156211661625,101
-0.082964674509676,-0.471908701919683,-0.132856598615285,-0.55780630751814,101
-0.0634090194521477,-0.0986363525380538,-0.0578242481899007,-0.165179475127546,101
-0.920759827042555,-0.937094354550622,-0.94585289649817,-0.188750305574795,101
-2.39038156647416,-0.56190835678834,-1.18757635026374,-0.968303895427607,101
-0.393082633771413,-0.446291799292449,-0.392321248983255,-0.491267591114701,101
-0.0412165073981276,-0.243606071759495,-0.336945298315908,-1.57500812690296,101
-0.00143045613685398,-0.00402290337583502,-0.00109230834381053,-0.0160985393894226,101
-0.00143828160904355,-0.00404511345932345,-0.00102672945455875,-0.0165147912478508,101
-0.41592683754657,-0.45935041751903,-0.399442078478548,-0.50656605189788,101
-0.00301834357067425,-0.00780499094872636,-0.00233819302237237,-0.0267319212531899,101
-0.722460377898469,-0.690376085853687,-0.710137843837036,-0.694803882742474,101
-0.0630819086948938,-0.0958822737079945,-0.0554359835338379,-0.16513607215228,101
-0.00778085546998134,-0.0171796253973353,-0.00669007323631275,-0.0476025332798212,101
-0.00749215991955267,-0.0164994964020316,-0.00611947346893708,-0.0468375552602842,101
-0.0296810962355887,-0.043481724995753,-0.022680216690145,-0.108256630547696,101
-0.00916160689467189,-0.0234418037222771,-0.00836432275289267,-0.0499814178672275,101
-0.259641395956588,-0.53238911347413,-0.251254900122539,-0.132457744966467,101
-0.0556444063350422,-0.0612693255907807,-0.0409128616344076,-0.51416378522217,101
-0.783197827841461,-0.736796079092171,-0.773265546280619,-0.764611868063594,101
-0.0479718593398396,-0.0511930609015271,-0.0341235897929435,-0.486501107590055,101
-0.0110976590833125,-0.0255297288827538,-0.00941491182751674,-0.0565937825470345,101
-0.257991596796787,-0.313700119643547,-0.247488621421399,-0.38031066155994,101
-0.109180141469445,-0.143616065230747,-0.0964455033064069,-0.232252333456949,101
-0.0521685723991483,-0.0547676531083291,-0.0368322593251421,-0.541710892661489,101
-0.0113171184183978,-0.0235616225350358,-0.00950889277478336,-0.0609147982763266,101
-0.0509275743108389,-0.0853253910763087,-0.0462407065036254,-0.154535089100405,101
-0.787793981967326,-1.01085082346605,-0.642312939818272,-1.88846175224486,101
-0.0169735164730805,-0.0325954495994631,-0.014187943376795,-0.0774604267722774,101
-0.576358708761159,-0.598147323173205,-0.568044706592301,-0.621936617429339,101
-0.0829303602329794,-0.194122876110453,-0.0621709478537056,-0.69653042196047,101
-0.767073390771365,-1.01582735097191,-0.63500057216615,-1.8534907928714,101
-0.00230475703131787,-0.00666717760407855,-0.00191646529069024,-0.0237580340650976,101
-0.00956838971166021,-0.0215351059278495,-0.00832149194141986,-0.0566976182950522,101
-0.0530343858698094,-0.0825562536536971,-0.0457154907649862,-0.148309134473214,101
-0.340125845523883,-0.571958307675081,-0.41122248795849,-0.116601574187671,101
-0.0680048861540684,-0.105971807220903,-0.0607687173047102,-0.173782495487878,101
-0.01974017915356,-0.0380272539558996,-0.0168235833358438,-0.085034364196967,101
-0.0583573264162666,-0.0951709063304976,-0.0539249197939835,-0.163393364159994,101
-0.268748224890083,-0.319730859628386,-0.26284633413538,-0.404271685985004,101
-0.226297871114922,-0.281032789687749,-0.217196977583258,-0.358651995775334,101
-0.694077519716324,-0.715519906821772,-0.710444822357771,-0.69749493489766,101
-0.0103907468422219,-0.0232817345197139,-0.00855602256553992,-0.0546828777566566,101
-0.942428623669267,-0.869491528712123,-0.94353740652329,-0.843257380265986,101
-0.689716823443326,-0.707132568891939,-0.713208300407994,-0.69873334768892,101
-0.0860153824467921,-0.137643895936764,-0.087066102925702,-0.215485095799348,101
-0.00519065080504657,-0.012672884519823,-0.00428704844407169,-0.0378983054665108,101
-1.1082791952818,-1.31427584503937,-0.920236050900614,-2.27791910274153,101
-0.00213552717083425,-0.0065563099786266,-0.0018727879751225,-0.0233526091255658,101
-1.10283966995297,-1.29543505111888,-0.918112626439151,-2.22738488823934,101
-1.00219777349218,-1.26907493165422,-0.886044539286492,-2.14804204995218,101
-0.876271479393049,-0.815794789799526,-0.84591720258723,-0.788498345012485,101
-0.0241404266570545,-0.0507541696123713,-0.0241373631318378,-0.105275700182016,101
-0.482722274885654,-0.520925557619066,-0.482433985779636,-0.562758000965429,101
-0.0930631562166335,-0.203261085779008,-0.0685544751292699,-0.683569811678958,101
