"euc","temp","comp","mt","id"
-0.547315438099831,-1.16875838697682,-0.544338859424743,-0.505235839429703,1
-0.512849782582781,-0.496190872328385,-0.494821382204995,-0.502453307443971,1
-0.687202718004144,-0.694833744214585,-0.696325228838103,-0.708116598971285,1
-1.51899142902878,-1.51070625484302,-1.50255069117642,-1.48916601668864,1
-0.453315244513691,-0.439128191588639,-0.437941125409925,-0.436866054336621,1
-0.542552713896887,-0.520529248996334,-0.518495039370756,-0.535413035617102,1
-0.453115577516083,-0.439015091281595,-0.437918851306704,-0.43681007468408,1
-0.484481137470434,-0.455928343417632,-0.455228867681671,-0.459200610537607,1
-0.544971114449781,-0.514580390975652,-0.514987512046038,-0.509118500980839,1
-0.525651541622359,-0.470281331321368,-0.473671701601398,-0.475963016981241,1
-0.491579450922707,-0.512749694685636,-0.509539666591369,-0.519434637618261,1
-0.501109240236506,-0.50415348450584,-0.504013298298446,-0.509258599953881,1
-0.507084405884278,-0.868385428713377,-0.782318138172577,-0.510328797639863,1
-0.478162220538636,-0.460309423248085,-0.465391184369512,-0.460439915211734,1
-0.455820674447182,-0.440007488923185,-0.438838934798265,-0.43763679087541,1
-0.531164402620716,-0.515075001828081,-0.512205208152202,-0.527923325350629,1
-0.626819022679932,-0.591772307333504,-0.592024480772365,-0.586086815328389,1
-0.512455694702437,-0.456472527611086,-0.455362469135607,-0.459200610537585,1
-0.480835061730358,-0.450471191601738,-0.44806035096971,-0.444919588232896,1
-0.553736931924554,-0.469427801084582,-0.469374552792822,-0.471170198925789,1
-0.457813827700901,-0.441403291039721,-0.4397402177581,-0.439745198450698,2
-0.485936986354537,-0.471059510245211,-0.46644678952357,-0.467380842647038,2
-0.496724235769863,-0.439999896859763,-0.438258630902813,-0.437642183873737,2
-0.45255466969934,-0.442767999226785,-0.441113340091808,-0.440553516184645,2
-0.916434061375634,-1.02690817342161,-1.01988981865065,-1.02957924319604,2
-0.746336434474169,-0.630198116909348,-0.639566082414563,-0.624642794514729,2
-0.542269998254208,-0.524810569364871,-0.525069031863201,-0.523264205946285,2
-0.538189250797796,-0.480761978079115,-0.483400299158153,-0.477668864009812,2
-0.452281547798827,-0.442485729991582,-0.440640177902441,-0.440030065701758,2
-0.456015030957585,-0.444222791167321,-0.443919555324652,-0.443047456053212,2
-1.19573896750633,-0.505547553200214,-0.438589211521455,-0.510299047905443,2
-0.456847435125001,-0.449920593597465,-0.44775045210433,-0.44561339394488,2
-0.465402474901902,-0.45173460032773,-0.451529573152093,-0.449827772706708,2
-0.458006128571814,-0.443894905567174,-0.44331329385243,-0.441859420156166,2
-0.474817505188771,-0.439779188405238,-0.438495218121036,-0.437824874932452,2
-0.738978664878094,-0.615225158277865,-0.625105301624039,-0.611240740932963,2
-0.453312165443281,-0.441145367058707,-0.439812486162098,-0.439135734579436,2
-0.607023219350002,-0.486084681805268,-0.489838898742951,-0.481963129248347,2
-1.52195118388911,-1.85659736513534,-1.83566589320548,-1.85428074769423,2
-0.487656061355197,-0.465107913134526,-0.466182114903021,-0.463998717576233,2
-0.479386989110139,-0.475989618393098,-0.476772276907245,-0.472503297988138,3
-0.556747502113504,-0.528085511581041,-0.523683735341076,-0.526460145485776,3
-0.656265763261751,-0.70239626836342,-0.698732757984892,-0.701394317606514,3
-0.470145042189909,-0.47484843275352,-0.474634926596528,-0.472450313829618,3
-0.651579380957659,-0.562057397204252,-0.564545277007683,-0.565776151608342,3
-0.625576652790979,-0.61543404167603,-0.606359940406076,-0.606845761567412,3
-0.596883364823039,-0.648002856926644,-0.642801387805109,-0.638866191867557,3
