Euclidean,Temporal,Compositional,Mean-tracker
0.14044848763640655,0.00043383378100101235,0.6755865495800623,0.18353112900253016
0.2741873544528207,0.0002453978815784546,0.6586280631176064,0.06693918454799448
0.3786088287475245,8.03969933755811e-05,0.5663636050211607,0.05494716923793912
0.14654086100099403,0.0006148971812007164,0.5909074082798078,0.26193683353799757
0.09213183669508064,0.00041369895066589187,0.19908373381837213,0.7083707305358817
0.20682324999055046,0.0002608444364314615,0.7202814660976696,0.07263443947534846
0.16794809260534582,0.00031736682852142516,0.5118598240734131,0.31987471649271954
0.25151966693605393,0.00019587673381673683,0.6929042956867865,0.055380160643342766
0.06556070300867768,0.0005148610553362496,0.09706512920274092,0.8368593067332453
0.17712169011550002,0.00031287409011405786,0.5103141973433926,0.3122512384509935
0.0418013882754735,0.0009788162329646083,0.033782214803850207,0.9234375806877115
0.40981726192877826,0.0006920638842156447,0.41480880133418685,0.17468187285281936
0.22562932427273946,0.0003701161022305989,0.6531984109932829,0.12080214863174697
0.2470835949081559,0.00032571098831291013,0.3894171707070592,0.36317352339647174
0.2572141289593483,0.00047899445001665876,0.5262815538321128,0.2160253227585221
0.28830185535462177,6.775778045022133e-05,0.7009184098321892,0.010711977032738892
0.10679996881038784,0.00030460350686262855,0.11829061985035585,0.7746048078323939
0.2397614813246461,0.0003583390693762039,0.6334009135101192,0.1264792660958584
0.2565462723316605,0.0003149445542299816,0.6792395190884426,0.06389926402566679
0.0690856313596261,0.00026479965271920456,0.09519766332488315,0.8354519056627715
0.345902855716719,0.00030868241364809696,0.5353246768095036,0.11846378506012933
0.0031575035945141934,0.00014330471349707687,0.9660885040320519,0.030610687659936776
0.34506304995613146,0.0003307121321877172,0.49863271064512793,0.155973527266553
0.2020200755900764,0.00041568972656896185,0.7227087383272309,0.07485549635612375
0.22822803318520882,0.00037953494654283126,0.5985260262678977,0.1728664056003506
0.21486394846207116,0.0004223654937303186,0.574814530743937,0.2098991553002617
0.2565453300364101,0.0002884372225424877,0.6484983230507527,0.09466790969029476
0.24831051924438283,0.0002944574233690075,0.6478476118643892,0.1035474114678588
0.2212697652254315,0.00033089602908637254,0.6035272034373134,0.17487213530816878
0.22453081688331053,0.000453592725084299,0.5550041025275984,0.22001148786400684
0.2104357079421423,0.00019483668705941383,0.6837049390803603,0.10566451629043809
0.2594802937582292,0.00024785030670071884,0.5111784218729767,0.22909343406209343
0.20360150136760286,0.0004989009274123026,0.5731308680487676,0.22276872965621733
0.16231594604470703,0.0005133430744434409,0.32286200049296465,0.5143087103878845
0.23923422662669117,0.0003170427585748986,0.6279612495759712,0.13248748103876268
0.26873648161146313,0.0001927097003674244,0.48820779701496864,0.2428630116732008
0.22402561561293327,0.00046270043974377137,0.5132894820792319,0.2622222018680911
0.2481252407860842,0.000255683656160943,0.5834868632647294,0.16813221229302544
0.24700450370305732,0.00028710892881727207,0.5257390105769901,0.22696937679113532
0.2523380670505201,0.0002500372232493715,0.6164701526351404,0.13094174309109027
0.21825948852245844,0.00026608606107872136,0.4993071608574209,0.2821672645590419
0.2345327924518738,0.00026525206200295296,0.6684141882753779,0.09678776721074543
0.21781219996402576,0.00040815881340053247,0.5620389647106856,0.21974067651188817
0.25088495724768917,0.00021551690269858167,0.7247355927836348,0.024163933065977576
0.21456112131915347,0.0003744609368943614,0.595996296592193,0.1890681211517592
0.2603552016911546,0.000269897510171834,0.5935607324404877,0.1458141683581857
0.24055657266575606,0.00033737627576716287,0.5871347662493123,0.17197128480916452
0.22257794277974816,0.0005728674649389181,0.5600342388691592,0.21681495088615366
