"avg.euc","avg.sr","trial_array","average.euclidean","LP.euc.w","mean.error.w","HP.euc.w"
0.250013092103008,0.249875657825184,1,0.500137464863776,0.499723779314089,0.499862691596913,0.500326579269416
0.250022132458128,0.249910289852183,2,0.500111857724119,0.49959237795761,0.49988827821302,0.500162485186828
0.320254092231422,0.242285204850915,3,0.569300836212598,0.518256056143374,0.479471777370171,0.520501137099052
0.341249715777744,0.214245742204336,4,0.614315942415415,0.448094584704088,0.430792822985216,0.443306139071016
0.372623348100219,0.214868893765138,5,0.634260883032422,0.346638563016101,0.418385901608001,0.451480911442386
0.408046631779525,0.233809895592005,6,0.635728725001082,0.491013567578392,0.419324986108771,0.322968525495549
0.426721108767544,0.254556456994979,7,0.62635426471138,0.56681409842283,0.430386326053698,0.379409376989446
0.396203828483936,0.228678626011114,8,0.634045372267808,0.422817811447083,0.398704892403426,0.415718304593091
0.472892282721938,0.228191268213262,9,0.674516299934766,0.44386425952904,0.360529067753143,0.29222775176506
0.449772416909052,0.200974224983059,10,0.691163638741636,0.406458513398447,0.346587384013505,0.292205760165198
0.24998856687234,0.250037405982287,11,0.499951163426903,0.500114606058927,0.50004891918557,0.50000318988272
0.250003674718309,0.24995662641734,12,0.500047052036793,0.499676536043412,0.499953027808352,0.499877149884941
0.333599485709492,0.23726336153262,13,0.584377643984261,0.460144288100553,0.444829739172447,0.379197865358955
0.352511101803227,0.258897958455654,14,0.576555247077902,0.553067680791544,0.461635749192166,0.426452089777203
0.397451347570252,0.227819779026447,15,0.635646411075381,0.457776206542586,0.392133170317178,0.346676248269815
0.392138571693848,0.220564626286125,16,0.640013913729671,0.442500032326498,0.388412892258427,0.363661599453309
0.373610224507787,0.228194903037809,17,0.620815954213485,0.535190904992378,0.400301261951919,0.373577254743446
0.323071982123173,0.234052044639739,18,0.579892387697468,0.314388353529609,0.450725459398728,0.34772667703521
0.372948349845552,0.250681009078105,19,0.598028852408803,0.611466325221406,0.436209861033796,0.292724940077896
0.374606192273556,0.224640687102765,20,0.625128315500675,0.395189922608899,0.41070300420598,0.348376065750247
0.394018786760528,0.230493689085398,21,0.630922202517756,0.42372137411285,0.397922211670825,0.317074258906402
0.373047238217066,0.23719869574933,22,0.611306388872406,0.513872361740157,0.425828368842969,0.435610686531712
0.388225416597814,0.236391986147052,23,0.62154114645504,0.527998698398683,0.409697939677764,0.345971813727275
0.372292946941223,0.207274968750901,24,0.642362934284635,0.388583992197371,0.382473442373679,0.304014308569335
0.378181862883423,0.228470032149853,25,0.623391875933527,0.52440655038537,0.395924201166059,0.436253469477683
0.398355664020148,0.223208504004226,26,0.640892259420795,0.479389777129981,0.392992971641283,0.265157314889303
0.37901342478918,0.234826019044514,27,0.617447165698699,0.571419011915216,0.404448592518168,0.304675978170163
0.387561725185906,0.227504551661826,28,0.630113761352994,0.462594103530888,0.389669125521687,0.327230263171068
0.341783072233231,0.243392498366209,29,0.58406927664994,0.503622614235504,0.432484466545985,0.371919178079743
0.357137113932466,0.242139546270036,30,0.59594697683001,0.587037967247251,0.415597836234959,0.374676365830144
0.343983289719314,0.245231406837369,31,0.583799575484999,0.574810690432305,0.441169097526198,0.33047709085007
0.32547652517132,0.25525142268866,32,0.560462995402102,0.552431232830369,0.459775595724437,0.41447481665097
0.363190339854973,0.237822311625334,33,0.604297328784056,0.496129429506955,0.415422485510332,0.327374906789205
0.327559240828026,0.240429817180885,34,0.576699913861522,0.498614060458085,0.441382974539634,0.435031558922045
