Euclidean,Temporal,Compositional,Mean-tracker
0.0003170325616157479,0.04950196848399497,0.24078869857823865,0.7093923003761509
0.00016138043183267723,0.11005379888241655,0.2822623630472935,0.6075224576384568
0.0004289627189356506,0.11739457776757516,0.26851637525180244,0.6136600842616865
0.00028540107154227944,0.11800486404609305,0.27375796096627514,0.60795177391609
0.0005045436384945761,0.11844112514634023,0.2709701574878154,0.6100841737273507
0.0004943379388815718,0.11855620064413906,0.2772847965019,0.603664664915081
0.0004605302708476607,0.11312342333748691,0.27197972602690745,0.6144363203647575
0.00042643897117275117,0.12145317403554341,0.2730656284258893,0.6050547585673928
0.000989521189364941,0.11060869380744086,0.2753587553235488,0.613043029679644
0.0003272776291822464,0.1272691255327013,0.2414470451350673,0.6309565517030494
0.0004128830799706721,0.11416096773966444,0.27008257857438894,0.615343570605975
1.0263774686719069e-05,0.11531300624536285,0.26390060572883695,0.6207761242511136
0.0004268501940488824,0.11264833667270595,0.27321389031405213,0.6137109228191926
0.00022535376471425063,0.10089677612910555,0.2691744564720725,0.629703413634108
0.0003399939891241404,0.11271100161526622,0.2693026426617469,0.6176463617338623
0.0002599267972578533,0.09067130577047328,0.31569640576113284,0.5933723616711359
0.0010450162167414824,0.1248939928072601,0.27679977167455516,0.5972612193014452
0.00029351724377609336,0.11136704383355539,0.27345879280655966,0.614880646116108
0.0003064014666491348,0.11253589645379605,0.27324674897486473,0.6139109531046898
0.00044844114715861954,0.11291733597372168,0.26828139633720616,0.6183528265419131
0.0006967616917011704,0.11820119327023795,0.27864228299423777,0.6024597620438222
3.9728078572381636e-05,0.10227037498503892,0.27519568440331227,0.6224942125330762
0.0001338022620812723,0.1149320315708735,0.2688810777803918,0.616053088386654
0.00015976528746623048,0.11847493991510938,0.2703271051097536,0.6110381896876713
0.00028680389851919923,0.1139651373972683,0.27074113061524363,0.6150069280889684
0.00018554014733550425,0.11125947383485076,0.29311430188508064,0.595440684132733
0.0003371159999473643,0.11187216863798569,0.2687819994148705,0.6190087159471962
0.0005107792423717538,0.12257353790594921,0.27597950021568074,0.6009361826359977
0.0006601022847373608,0.12285799354568142,0.27146091657899213,0.6050209875905899
0.00043308265650040157,0.11194530669034573,0.27294603222362274,0.6146755784295304
0.00029341241975011016,0.11242772045427983,0.26586166478354645,0.6214172023424239
0.000632733923884357,0.11762947773815989,0.26170757977340314,0.6200302085645524
0.0007065492878735269,0.11927606855611468,0.2571774685514135,0.6228399136045978
0.000574465381508882,0.12148623630749636,0.2763724327620445,0.6015668655489496
0.00036122873173392183,0.1145628043195424,0.26846861346138134,0.6166073534873427
7.198353101431233e-05,0.11177303022580447,0.26943496334579514,0.6187200228973859
0.00031994253730012223,0.11372534112388633,0.2651052258866532,0.6208494904521612
0.00025680350778988024,0.1109550209161576,0.2674035764925649,0.6213845990834878
0.00032810301608563955,0.11546750458002106,0.27364264201059696,0.6105617503932963
0.0004127738277374276,0.11542855027877764,0.27738669481125805,0.6067719810822263
0.0010886785369742225,0.12152057584525554,0.27679751395953694,0.6005932316582322
0.00032986931859708214,0.11595377406659904,0.2686485689248902,0.6150677876899134
0.0003098174927079373,0.11297108232604265,0.2707918055263175,0.6159272946549321
0.0005880645377823454,0.08258854252462233,0.1746366852955728,0.7421867076420228
0.00028439960801751764,0.11169952685854898,0.2692879901996867,0.6187280833337467
0.00027946994388464787,0.11215365741277367,0.2746308114490584,0.6129360611942825
0.00034092864563827505,0.11477724502499251,0.26828881466039006,0.616593011668979
9.7965682484802e-05,0.11098544487938251,0.2582796139225158,0.6306369755156173
