subj,trial,map,option1,option2,chosen_object,unchosen_object,chosen_value,unchosen_value,decision
103,35,1,8,7,8,7,43.594028762536,90.3707077873196,1
103,36,1,2,1,2,1,4.89356064113839,0.759511501145757,1
103,37,1,9,8,9,8,70.8751717969681,43.594028762536,1
103,38,1,8,3,3,8,11.0002740485006,43.594028762536,2
103,39,1,1,10,10,1,4.89356064113839,0.759511501145757,2
103,40,1,12,8,12,8,17.884245506376,43.594028762536,1
103,41,2,5,9,9,5,19.0043934374881,2.61214098539182,2
103,42,2,9,11,11,9,100,19.0043934374881,2
103,43,2,5,1,1,5,44.4858066222941,2.61214098539182,2
103,44,2,11,4,11,4,100,1.67308660338568,1
103,45,2,2,10,10,2,50.2328997724974,16.1621192465339,2
103,46,2,4,10,10,4,50.2328997724974,1.67308660338568,2
103,47,2,4,3,3,4,50.2328997724975,1.67308660338568,2
103,48,2,3,2,3,2,50.2328997724975,16.1621192465339,1
103,49,2,9,4,9,4,19.0043934374881,1.67308660338568,1
103,50,2,3,2,3,2,50.2328997724975,16.1621192465339,1
103,51,1,4,9,9,4,70.8751717969681,14.0261042959477,2
103,52,1,6,3,6,3,43.594028762536,11.0002740485006,1
103,53,1,6,7,7,6,90.3707077873196,43.594028762536,2
103,54,1,3,8,8,3,43.594028762536,11.0002740485006,2
103,55,1,4,9,9,4,70.8751717969681,14.0261042959477,2
103,56,1,9,12,12,9,17.884245506376,70.8751717969681,2
103,57,1,4,1,4,1,14.0261042959477,0.759511501145757,1
103,58,1,8,7,7,8,90.3707077873196,43.594028762536,2
103,59,1,10,1,10,1,4.89356064113839,0.759511501145757,1
103,60,1,1,6,6,1,43.594028762536,0.759511501145757,2
103,61,2,8,9,9,8,19.0043934374881,16.1621192465339,2
103,62,2,10,4,10,4,50.2328997724974,1.67308660338568,1
103,63,2,2,7,2,7,16.1621192465339,1.88923160081495,1
103,64,2,7,10,10,7,50.2328997724974,1.88923160081495,2
103,65,2,7,3,3,7,50.2328997724975,1.88923160081495,2
103,66,2,9,11,11,9,100,19.0043934374881,2
103,67,2,1,4,1,4,44.4858066222941,1.67308660338568,1
103,68,2,5,8,8,5,16.1621192465339,2.61214098539182,2
103,69,2,2,11,11,2,100,16.1621192465339,2
103,70,2,10,5,10,5,50.2328997724974,2.61214098539182,1
103,71,1,3,2,3,2,11.0002740485006,4.89356064113839,1
103,72,1,6,12,6,12,43.594028762536,17.884245506376,1
103,73,1,4,9,9,4,70.8751717969681,14.0261042959477,2
103,74,1,12,6,6,12,43.594028762536,17.884245506376,2
103,75,1,9,4,9,4,70.8751717969681,14.0261042959477,1
103,76,1,6,7,6,7,43.594028762536,90.3707077873196,1
103,77,1,7,6,7,6,90.3707077873196,43.594028762536,1
103,78,1,7,8,7,8,90.3707077873196,43.594028762536,1
103,79,1,12,2,12,2,17.884245506376,4.89356064113839,1
103,80,1,2,8,8,2,43.594028762536,4.89356064113839,2
103,81,2,11,9,11,9,100,19.0043934374881,1
103,82,2,11,1,11,1,100,44.4858066222941,1
103,83,2,8,3,3,8,50.2328997724975,16.1621192465339,2
103,84,2,1,9,1,9,44.4858066222941,19.0043934374881,1
103,85,2,9,7,9,7,19.0043934374881,1.88923160081495,1
103,86,2,8,1,1,8,44.4858066222941,16.1621192465339,2
103,87,2,7,8,8,7,16.1621192465339,1.88923160081495,2
103,88,2,5,10,10,5,50.2328997724974,2.61214098539182,2
103,89,2,3,7,3,7,50.2328997724975,1.88923160081495,1
103,90,2,8,4,8,4,16.1621192465339,1.67308660338568,1
103,91,1,7,10,7,10,90.3707077873196,4.89356064113839,1
103,92,1,10,1,10,1,4.89356064113839,0.759511501145757,1
103,93,1,10,12,12,10,17.884245506376,4.89356064113839,2
103,94,1,1,12,12,1,17.884245506376,0.759511501145757,2
103,95,1,4,12,4,12,14.0261042959477,17.884245506376,1
103,96,1,9,3,9,3,70.8751717969681,11.0002740485006,1
103,97,1,6,3,6,3,43.594028762536,11.0002740485006,1
103,98,1,12,7,7,12,90.3707077873196,17.884245506376,2
103,99,1,1,2,2,1,4.89356064113839,0.759511501145757,2
103,100,1,10,4,10,4,4.89356064113839,14.0261042959477,1
104,1,1,4,12,4,12,14.0261042959477,17.884245506376,1
104,2,1,10,3,10,3,4.89356064113839,11.0002740485006,1
104,3,1,8,7,7,8,90.3707077873196,43.594028762536,2
104,4,1,10,12,12,10,17.884245506376,4.89356064113839,2
104,5,1,10,12,10,12,4.89356064113839,17.884245506376,1
104,6,1,9,1,9,1,70.8751717969681,0.759511501145757,1
104,7,1,12,8,8,12,43.594028762536,17.884245506376,2
104,8,1,1,3,3,1,11.0002740485006,0.759511501145757,2
104,9,1,7,6,7,6,90.3707077873196,43.594028762536,1
104,10,1,12,2,12,2,17.884245506376,4.89356064113839,1
104,11,2,7,10,10,7,50.2328997724974,1.88923160081495,2
104,12,2,4,5,5,4,2.61214098539182,1.67308660338568,2
104,13,2,8,5,8,5,16.1621192465339,2.61214098539182,1
104,14,2,3,9,3,9,50.2328997724975,19.0043934374881,1
104,15,2,8,7,8,7,16.1621192465339,1.88923160081495,1
104,16,2,5,9,9,5,19.0043934374881,2.61214098539182,2
104,17,2,10,1,1,10,44.4858066222941,50.2328997724974,2
104,18,2,4,1,1,4,44.4858066222941,1.67308660338568,2
104,19,2,2,1,1,2,44.4858066222941,16.1621192465339,2
104,20,2,9,5,9,5,19.0043934374881,2.61214098539182,1
104,21,1,7,9,7,9,90.3707077873196,70.8751717969681,1
104,22,1,8,7,8,7,43.594028762536,90.3707077873196,1
104,23,1,9,6,9,6,70.8751717969681,43.594028762536,1
104,24,1,9,7,7,9,90.3707077873196,70.8751717969681,2
104,25,1,9,10,9,10,70.8751717969681,4.89356064113839,1
104,26,1,8,2,8,2,43.594028762536,4.89356064113839,1
104,27,1,6,4,4,6,14.0261042959477,43.594028762536,2
104,28,1,3,9,9,3,70.8751717969681,11.0002740485006,2
104,29,1,2,1,2,1,4.89356064113839,0.759511501145757,1
104,30,1,1,10,10,1,4.89356064113839,0.759511501145757,2
104,31,2,2,9,9,2,19.0043934374881,16.1621192465339,2
104,32,2,11,10,11,10,100,50.2328997724974,1
104,33,2,11,4,11,4,100,1.67308660338568,1
104,34,2,5,4,5,4,2.61214098539182,1.67308660338568,1
104,35,2,9,5,9,5,19.0043934374881,2.61214098539182,1
104,36,2,3,2,3,2,50.2328997724975,16.1621192465339,1
104,37,2,3,8,3,8,50.2328997724975,16.1621192465339,1
104,38,2,4,2,2,4,16.1621192465339,1.67308660338568,2
104,39,2,7,5,5,7,2.61214098539182,1.88923160081495,2
104,40,2,7,4,7,4,1.88923160081495,1.67308660338568,1
104,41,1,8,6,8,6,43.594028762536,43.594028762536,1
104,42,1,6,2,6,2,43.594028762536,4.89356064113839,1
104,43,1,4,10,4,10,14.0261042959477,4.89356064113839,1
104,44,1,1,8,8,1,43.594028762536,0.759511501145757,2
104,45,1,12,8,8,12,43.594028762536,17.884245506376,2
104,46,1,7,9,7,9,90.3707077873196,70.8751717969681,1
104,47,1,2,4,4,2,14.0261042959477,4.89356064113839,2
104,48,1,3,10,3,10,11.0002740485006,4.89356064113839,1
104,49,1,7,6,7,6,90.3707077873196,43.594028762536,1
104,50,1,12,4,12,4,17.884245506376,14.0261042959477,1
104,51,2,11,7,11,7,100,1.88923160081495,1
104,52,2,3,4,3,4,50.2328997724975,1.67308660338568,1
104,53,2,9,4,9,4,19.0043934374881,1.67308660338568,1
104,54,2,10,8,8,10,16.1621192465339,50.2328997724974,2
104,55,2,3,10,3,10,50.2328997724975,50.2328997724974,1
104,56,2,11,9,11,9,100,19.0043934374881,1
104,57,2,5,1,1,5,44.4858066222941,2.61214098539182,2
104,58,2,4,3,3,4,50.2328997724975,1.67308660338568,2
104,59,2,1,10,1,10,44.4858066222941,50.2328997724974,1
104,60,2,7,8,8,7,16.1621192465339,1.88923160081495,2
104,61,1,3,12,12,3,17.884245506376,11.0002740485006,2
104,62,1,9,6,9,6,70.8751717969681,43.594028762536,1
104,63,1,6,4,6,4,43.594028762536,14.0261042959477,1
104,64,1,4,9,9,4,70.8751717969681,14.0261042959477,2
104,65,1,2,4,4,2,14.0261042959477,4.89356064113839,2
104,66,1,1,8,8,1,43.594028762536,0.759511501145757,2
104,67,1,4,8,8,4,43.594028762536,14.0261042959477,2
104,68,1,2,3,3,2,11.0002740485006,4.89356064113839,2
104,69,1,7,2,7,2,90.3707077873196,4.89356064113839,1
104,70,1,10,3,3,10,11.0002740485006,4.89356064113839,2
104,71,2,10,3,3,10,50.2328997724975,50.2328997724974,2
104,72,2,2,7,2,7,16.1621192465339,1.88923160081495,1
104,73,2,1,7,1,7,44.4858066222941,1.88923160081495,1
104,74,2,11,7,11,7,100,1.88923160081495,1
104,75,2,1,2,1,2,44.4858066222941,16.1621192465339,1
104,76,2,7,11,11,7,100,1.88923160081495,2
104,77,2,4,11,11,4,100,1.67308660338568,2
104,78,2,1,3,3,1,50.2328997724975,44.4858066222941,2
104,79,2,2,1,1,2,44.4858066222941,16.1621192465339,2
104,80,2,5,8,8,5,16.1621192465339,2.61214098539182,2
104,81,1,3,10,3,10,11.0002740485006,4.89356064113839,1
104,82,1,6,3,6,3,43.594028762536,11.0002740485006,1
104,83,1,12,1,12,1,17.884245506376,0.759511501145757,1
104,84,1,4,7,7,4,90.3707077873196,14.0261042959477,2
104,85,1,8,2,8,2,43.594028762536,4.89356064113839,1
104,86,1,6,1,6,1,43.594028762536,0.759511501145757,1
104,87,1,1,9,9,1,70.8751717969681,0.759511501145757,2
104,88,1,2,7,7,2,90.3707077873196,4.89356064113839,2
104,89,1,10,12,12,10,17.884245506376,4.89356064113839,2
104,90,1,3,1,3,1,11.0002740485006,0.759511501145757,1
104,91,2,9,10,10,9,50.2328997724974,19.0043934374881,2
104,92,2,8,2,8,2,16.1621192465339,16.1621192465339,1
104,93,2,8,3,3,8,50.2328997724975,16.1621192465339,2
104,94,2,2,3,3,2,50.2328997724975,16.1621192465339,2
104,95,2,8,11,11,8,100,16.1621192465339,2
104,96,2,5,8,8,5,16.1621192465339,2.61214098539182,2
104,97,2,10,2,10,2,50.2328997724974,16.1621192465339,1
104,98,2,1,9,1,9,44.4858066222941,19.0043934374881,1
104,99,2,9,11,11,9,100,19.0043934374881,2
104,100,2,10,11,11,10,100,50.2328997724974,2
105,1,1,1,8,8,1,43.594028762536,0.759511501145757,2
105,2,1,3,9,9,3,70.8751717969681,11.0002740485006,2
105,3,1,2,4,4,2,14.0261042959477,4.89356064113839,2
105,4,1,6,8,8,6,43.594028762536,43.594028762536,2
105,5,1,6,10,10,6,4.89356064113839,43.594028762536,2
105,6,1,12,6,6,12,43.594028762536,17.884245506376,2
105,7,1,10,3,3,10,11.0002740485006,4.89356064113839,2
105,8,1,4,12,12,4,17.884245506376,14.0261042959477,2
105,9,1,9,3,9,3,70.8751717969681,11.0002740485006,1
105,10,1,4,1,1,4,0.759511501145757,14.0261042959477,2
105,11,2,1,2,1,2,44.4858066222941,16.1621192465339,1
105,12,2,10,4,10,4,50.2328997724974,1.67308660338568,1
105,13,2,1,10,10,1,50.2328997724974,44.4858066222941,2
105,14,2,9,1,9,1,19.0043934374881,44.4858066222941,1
105,15,2,9,2,2,9,16.1621192465339,19.0043934374881,2
105,16,2,8,5,5,8,2.61214098539182,16.1621192465339,2
105,17,2,8,7,8,7,16.1621192465339,1.88923160081495,1
105,18,2,3,1,3,1,50.2328997724975,44.4858066222941,1
105,19,2,5,3,3,5,50.2328997724975,2.61214098539182,2
105,20,2,4,7,7,4,1.88923160081495,1.67308660338568,2
105,21,1,8,9,9,8,70.8751717969681,43.594028762536,2
105,22,1,12,4,12,4,17.884245506376,14.0261042959477,1
105,23,1,1,3,3,1,11.0002740485006,0.759511501145757,2
105,24,1,3,1,3,1,11.0002740485006,0.759511501145757,1
105,25,1,7,2,7,2,90.3707077873196,4.89356064113839,1
105,26,1,2,6,6,2,43.594028762536,4.89356064113839,2
105,27,1,4,6,6,4,43.594028762536,14.0261042959477,2
105,28,1,7,6,7,6,90.3707077873196,43.594028762536,1
105,29,1,3,7,7,3,90.3707077873196,11.0002740485006,2
105,30,1,6,4,6,4,43.594028762536,14.0261042959477,1
105,31,2,7,5,7,5,1.88923160081495,2.61214098539182,1
105,32,2,10,2,10,2,50.2328997724974,16.1621192465339,1
105,33,2,10,1,10,1,50.2328997724974,44.4858066222941,1
105,34,2,5,11,11,5,100,2.61214098539182,2
105,35,2,11,8,11,8,100,16.1621192465339,1
105,36,2,10,11,11,10,100,50.2328997724974,2
105,37,2,2,8,8,2,16.1621192465339,16.1621192465339,2
105,38,2,8,11,11,8,100,16.1621192465339,2
105,39,2,9,7,9,7,19.0043934374881,1.88923160081495,1
105,40,2,7,3,3,7,50.2328997724975,1.88923160081495,2
105,41,1,4,1,1,4,0.759511501145757,14.0261042959477,2
105,42,1,3,7,7,3,90.3707077873196,11.0002740485006,2
105,43,1,8,9,9,8,70.8751717969681,43.594028762536,2
105,44,1,7,9,7,9,90.3707077873196,70.8751717969681,1
105,45,1,10,2,2,10,4.89356064113839,4.89356064113839,2
