"avg.euc","avg.sr","trial_array","average.euclidean","LP.euc.w","mean.error.w","HP.euc.w"
0.250023260069917,0.250059966857736,1,0.49996329932115,0.500040654712201,0.500037122167981,0.500297238951317
0.250030235613918,0.250042976384694,2,0.499987261094505,0.500064227876826,0.500013139532114,0.500119520849626
0.336583890261665,0.242563563210557,3,0.581171320436116,0.492422186803272,0.470970753089407,0.546241642694933
0.361715459532512,0.229273245234753,4,0.612051392208854,0.441768083593595,0.436482231433522,0.455752837373292
0.401447747390407,0.210159197447246,5,0.656381930877139,0.276538283869776,0.394539467659573,0.456211962616614
0.434070272632596,0.233006522448909,6,0.650705099972126,0.53444424806761,0.398237771941581,0.268543243207846
0.450847616969186,0.249358185728365,7,0.643878721416319,0.596015083259304,0.409434738233297,0.350108256530488
0.427708431137878,0.203666561333232,8,0.677423775471197,0.332377223377861,0.360813238948843,0.407037339041654
0.503197469528291,0.205826136586598,9,0.709704818271951,0.373033236549846,0.320610756952137,0.246513549263322
0.483673903564571,0.187321889971183,10,0.720830008510029,0.44132752807036,0.315737107828188,0.251847061998985
0.249985780677139,0.249981648655115,11,0.500004132291207,0.499997471829032,0.49999613247753,0.499976975983988
0.250009103635017,0.250017710216698,12,0.499991393879846,0.500047279107349,0.500008857858791,0.49989954811995
0.349949384073948,0.236324370645037,13,0.59690440047361,0.437324547045037,0.433282269174463,0.36282165119053
0.368576101285673,0.252382772542552,14,0.593559600836998,0.538653757799502,0.448566404945321,0.409034946223736
0.426352489420658,0.226167595571265,15,0.653393664389557,0.448034610396651,0.37860997805261,0.331360802575227
0.41690530988702,0.198118547017869,16,0.677868517141918,0.425311326246295,0.355384912653668,0.339738419298046
0.39804644665635,0.225096350609922,17,0.638772442532563,0.549871271802416,0.382545737868918,0.347743527685979
0.342872210204649,0.231677398037079,18,0.596766937591216,0.259723879734456,0.431005933376893,0.322672085887416
0.390778261199444,0.238740804664976,19,0.620756832301575,0.641353890255186,0.411010455786799,0.232983510475924
0.400293980238806,0.210435141048345,20,0.655436209419915,0.380605039344978,0.37966558322366,0.306043526692455
0.417865523164315,0.20784472788992,21,0.667825918562576,0.373409088470991,0.365653493960422,0.26921159151301
0.39922580974251,0.233566802780183,22,0.630895180888657,0.494786355790767,0.403948739345482,0.413400118482846
0.411387176988777,0.220728267295072,23,0.650810197265241,0.505996331434232,0.382337981015002,0.319314554650225
0.398401496598645,0.188693147305693,24,0.678598418049205,0.341607434902873,0.349369937645163,0.261133237727716
0.402341373121912,0.210870665037176,25,0.65612112627432,0.535938216947402,0.366544936590608,0.423369692536426
0.423632700116122,0.211931453956427,26,0.6665459299452,0.479138831972343,0.366238579832773,0.210299248684635
0.40324333205319,0.219688533387864,27,0.64733136065801,0.572482201538092,0.374203451822413,0.266088611788579
0.415216211526409,0.203946364068237,28,0.67060934864746,0.429487208591739,0.352130649729518,0.279184248471508
0.360505889248233,0.224829100069997,29,0.615896701593275,0.479049897657592,0.401915610403077,0.338297207584019
0.379172322613823,0.230081678958647,30,0.622355079548412,0.617778264557286,0.388918725745544,0.341118823283324
0.361769066023901,0.240411415153519,31,0.600765181422931,0.611847287001807,0.428499257644695,0.288228857723781
0.340757726554569,0.248798947882954,32,0.577989769820985,0.558258655176338,0.444056328010672,0.387116639740116
0.383008077356012,0.227144889829533,33,0.627724682095238,0.500278221631099,0.393825372135102,0.291411122203532
0.343329419702066,0.237266606392202,34,0.59133959633117,0.493761307094765,0.428142332489926,0.424763588640913
0.302391433672973,0.233336565764466,35,0.564449560206878,0.446522150410514,0.446844024044874,0.457382744581756
0.32836273652024,0.239170636064486,36,0.578578727493632,0.501585263007451,0.437070234330182,0.403876623214907
0.343944928562042,0.22631739571786,37,0.603134581959904,0.432829028252492,0.412261690453988,0.331196799781248
0.308769771972417,0.237132252375979,38,0.565613898100073,0.51302570698755,0.436957562240383,0.407179089491558
0.320651684013095,0.241309656267822,39,0.57059384877402,0.556975848071728,0.436385580388689,0.372050860798974
0.299533903417288,0.240427105613564,40,0.554732468470095,0.55391782803766,0.450964546595189,0.414122964799345
0.31671091465869,0.218264215348369,41,0.59201053823663,0.433596888238101,0.413918644727986,0.42529668479663
0.315051417249886,0.237931658077172,42,0.569730668634932,0.559245184611769,0.435800487514161,0.378456372847221
0.300670220720995,0.231913496479765,43,0.564550156173205,0.513653167015327,0.439121361928233,0.414918163995936
0.296366189565411,0.229627064626033,44,0.56344104644647,0.441120428900373,0.43859369238061,0.431229163008928
0.284004194741657,0.234890709781157,45,0.54732507925248,0.473120167109206,0.455084241243429,0.420877585363836
0.272248223757231,0.240625103896966,46,0.530829366780394,0.51197249758511,0.470503800141409,0.45631193547004
0.273954209625119,0.242656860514094,47,0.530291016704879,0.505471392456146,0.471303684965185,0.444394179063946
0.269143545475561,0.244083340183884,48,0.524414353565555,0.505143222142263,0.476270755145938,0.444539664677605
0.265512858669337,0.242310084715575,49,0.522845338376308,0.4858740861589,0.477552725036262,0.460394694711236
0.254260623881326,0.248378213805138,50,0.505851527613011,0.501070243949722,0.494174003104515,0.489054753240195
0.247557660777645,0.251704526735034,51,0.495847005780621,0.502567349654215,0.5041796762845,0.502549818913005
0.23997159762385,0.253074683380266,52,0.486712113790078,0.498000399513374,0.513476803529391,0.527677681188663
0.232278024999475,0.259270539997337,53,0.472543389483766,0.50140763815166,0.527846634425706,0.547849208764747
0.237056543782226,0.256211794843832,54,0.48058333612597,0.500411940393126,0.520113871345251,0.54859731264247
0.227749664663058,0.257998289364157,55,0.468863868133345,0.491861535265814,0.532447222386513,0.560328625638808
0.217040733572741,0.268885149639417,56,0.446653987925108,0.514733135706036,0.555895573538492,0.589176298323157
0.213355833380654,0.263895067084719,57,0.447051714669597,0.459544661134726,0.55510339356026,0.618744903026811
0.200847442001069,0.273893685218127,58,0.423067289698569,0.479871817051568,0.580183928387898,0.660529894127927
0.22342000929453,0.271505318125056,59,0.451421652755951,0.53432841948999,0.549536402362946,0.576212622671218
0.200194091286542,0.292599248789582,60,0.406243500075746,0.538670664913858,0.596356355022728,0.604005972677349
0.203213738086708,0.281148732167124,61,0.419548892754249,0.496946189575481,0.583432827995371,0.653688298009389
0.189748773061559,0.285147333440983,62,0.399558493875636,0.480053903370793,0.605282345158229,0.718110393039508
0.209824036136508,0.288013897329949,63,0.421470567088969,0.528244717157645,0.580316679387158,0.578654447505416
0.198842922493917,0.275267819994571,64,0.419401849977582,0.46260216721316,0.589508394434658,0.690232964010515
0.182122974672121,0.293935579233617,65,0.382564231181071,0.511950539559019,0.626491603484782,0.755845946950268
0.16543922731224,0.328617960359498,66,0.334858456552121,0.635502742850988,0.667687607317715,0.677394297478156
0.207128000835523,0.275743589551202,67,0.428950480747142,0.407960318720737,0.579503433445287,0.676548436680033
0.18338914450835,0.309990288306735,68,0.371700018912387,0.455738895941756,0.637312808322139,0.687360730427798
0.174533626086469,0.308871580551214,69,0.361050364559445,0.464661076347753,0.641816201014956,0.690703591876848
0.161748285410165,0.317691630081032,70,0.337369251461781,0.40007308509666,0.664932346430134,0.733786048311798
0.177442902588906,0.294412111471822,71,0.376053866762701,0.408757072065891,0.626423231641093,0.762019901628343
0.176986319958741,0.309448554422955,72,0.363843814002248,0.554784788113037,0.644733494753811,0.769764803799434
0.155707388919083,0.339332005274366,73,0.314535349601362,0.56394537916349,0.68899661979467,0.81672029462113
0.149991434516132,0.349780352558271,74,0.300119851490942,0.570946450893885,0.698672380060161,0.818410987213593
0.1755177897418,0.307641302075754,75,0.363271213797376,0.478793039412047,0.652856019405513,0.841325074267017
0.162125527735612,0.334826455294533,76,0.326239824513946,0.489700638434253,0.679787217696281,0.818592398685839
0.138499574782738,0.364856728965345,77,0.275152161106248,0.594903716207866,0.720263448477427,0.860767052602855
0.178748894036443,0.330872878805005,78,0.350748150024695,0.447662014382075,0.653991182661299,0.774480800639799
0.183438129098733,0.309535814644935,79,0.372105121227494,0.5245931972477,0.635148226747925,0.797703228294379
0.158222530282635,0.347033230963058,80,0.313153342165841,0.606554754316297,0.689138639725038,0.809317263691087
0.153930097862919,0.353019525870596,81,0.303639830579762,0.334023219132152,0.689968526173845,0.847870068071904
0.176267518368596,0.339733958516466,82,0.341602740039946,0.478175966920283,0.659251047767742,0.79604957916651
0.182149362130322,0.329632528989197,83,0.355912089292318,0.423217082722263,0.651154142816139,0.834970448313441
0.140595179688403,0.381130339476829,84,0.269481124698208,0.509122397773973,0.738784015777066,0.828186903957127
0.169406192588911,0.335823166745467,85,0.335305519085625,0.335397402947566,0.66629575388953,0.70689352117634
0.121262422842398,0.399717754803529,86,0.232758227751251,0.572709176578096,0.76398052065873,0.85638308426331
0.147997217494878,0.365234403272859,87,0.288363404564766,0.490466297975685,0.699112053782188,0.887275799695808
0.145803213628806,0.389484655635155,88,0.272382809327046,0.380463575618353,0.714998221432681,0.851216154470443
0.150670557372293,0.36787604780155,89,0.290563193103502,0.388402859967252,0.706071061399499,0.836975842003838
0.142677233736661,0.414701145878589,90,0.255979131869358,0.658966057398623,0.731541698274638,0.774791035363966
0.1343682279775,0.406246829181671,91,0.248546958132427,0.569454839560818,0.725682816364968,0.819330990205666
0.187119244553111,0.35377187169516,92,0.345946233783626,0.369120130803895,0.662397972338332,0.854029300688795
0.193967852840946,0.34920056982384,93,0.357104435286092,0.448108104300908,0.652332001247776,0.903516933739584
0.13038636742454,0.426901212533904,94,0.233966038565335,0.613934451957705,0.75110442059329,0.766071840363154
0.152606934355803,0.42142130873879,95,0.265852658282278,0.545474692860165,0.725464801379589,0.897271660756501
0.128857593853102,0.420495406236995,96,0.234562464994219,0.504777812584242,0.75136305984821,0.887483131659963
0.147897344793665,0.420349364073697,97,0.260269602068538,0.42370240409592,0.726841907790538,0.833083607924583
0.181651184751371,0.346354720640498,98,0.344032486940758,0.448256558005203,0.658510545507633,0.834817429099869
0.156383953804341,0.40771098511121,99,0.277229847346233,0.511334110956794,0.7134987038567,0.818256610150357
0.160894848409297,0.419403637997403,100,0.277262223111391,0.64732845334097,0.716021835365553,0.733290702129152
