choices,choice_indices,rewards,regret,RPE
7.0,0.0,43.0,0.0,-43.0
11.0,0.0,17.0,0.0,0.0
1.0,0.0,4.0,13.0,0.3157939784859477
9.0,1.0,4.0,13.0,1.2216254099465078
8.0,0.0,70.0,0.0,1.6918484783624028
7.0,1.0,43.0,0.0,-0.6476474953694318
7.0,0.0,43.0,0.0,0.05179521945332438
11.0,0.0,17.0,0.0,-1.1104792694551167
9.0,0.0,4.0,0.0,-0.5958868655244712
5.0,0.0,43.0,0.0,1.3607987384937676
0.0,0.0,44.0,6.0,-44.0
9.0,0.0,50.0,0.0,0.0
6.0,1.0,1.0,1.0,-0.4186983104012877
7.0,1.0,16.0,0.0,0.9346949742665493
10.0,0.0,100.0,0.0,1.2634966588668926
0.0,1.0,44.0,6.0,-1.1862093146510442
2.0,1.0,50.0,0.0,-0.16781072006394465
2.0,0.0,50.0,0.0,-0.0015399927930233592
7.0,0.0,16.0,0.0,-1.2169494021659701
9.0,0.0,50.0,0.0,1.1759761517085452
11.0,1.0,17.0,0.0,-1.4498137031492897
6.0,1.0,90.0,0.0,1.7261190066661114
6.0,0.0,90.0,0.0,0.3406652237825285
6.0,1.0,90.0,0.0,0.21385903897843317
3.0,0.0,14.0,0.0,-1.6661016232961763
6.0,0.0,90.0,0.0,2.383915752132711
7.0,0.0,43.0,0.0,-1.3133805198646338
5.0,1.0,43.0,0.0,-0.005875820280890332
8.0,1.0,70.0,0.0,0.8420850165477929
8.0,0.0,70.0,0.0,0.017103097179979487
0.0,1.0,44.0,0.0,-0.876623340690852
10.0,0.0,100.0,0.0,2.1809064103188245
8.0,1.0,19.0,0.0,-2.5031470988850515
2.0,0.0,50.0,0.0,1.0260994267114607
1.0,0.0,16.0,3.0,-0.21784935285409857
2.0,1.0,50.0,0.0,1.166255047517299
10.0,1.0,100.0,0.0,1.8417528623963477
8.0,0.0,19.0,0.0,-2.5985261304181884
0.0,1.0,44.0,0.0,0.8377941771074962
2.0,1.0,50.0,0.0,0.2018428810771059
8.0,1.0,70.0,0.0,0.6510016741329472
7.0,1.0,43.0,0.0,-0.8668738064981987
2.0,0.0,11.0,0.0,-0.8714155045919011
8.0,1.0,70.0,0.0,1.9304876479801056
3.0,0.0,14.0,0.0,-1.8479166322294085
7.0,1.0,43.0,0.0,0.9464897311204139
2.0,0.0,11.0,0.0,-1.0982102744065112
6.0,1.0,90.0,0.0,2.665606803630066
8.0,1.0,70.0,0.0,-0.597129523099597
5.0,1.0,43.0,0.0,-0.891668364092286
3.0,0.0,3.0,0.0,-1.0751782478793028
2.0,1.0,50.0,0.0,1.5596540735574564
2.0,0.0,50.0,0.0,-0.0017916280076718527
9.0,0.0,50.0,0.0,0.008689422408685366
1.0,0.0,16.0,0.0,-1.2472660228637327
8.0,1.0,19.0,0.0,0.07161211419591318
3.0,0.0,3.0,0.0,-0.6197014658189437
10.0,0.0,100.0,0.0,3.4868796048147455
9.0,1.0,50.0,0.0,-1.5835498397759227
1.0,1.0,16.0,0.0,-1.185043496777846
7.0,1.0,43.0,0.0,0.895379487077044
8.0,1.0,70.0,0.0,0.9321922753291708
0.0,0.0,0.0,4.0,-2.0905145824580957
6.0,0.0,90.0,0.0,2.9987283888103766
1.0,1.0,4.0,0.0,-2.81594011085257
9.0,1.0,4.0,0.0,-0.034671476663519885
11.0,1.0,17.0,0.0,0.37880363325225264
6.0,1.0,90.0,0.0,2.373919209292927
2.0,1.0,11.0,0.0,-2.4943340305686252
5.0,0.0,43.0,0.0,1.002440725221941
1.0,0.0,16.0,0.0,-0.9474005385064493
9.0,1.0,50.0,0.0,1.1849575146043176
0.0,0.0,44.0,0.0,-0.1986845163537587
7.0,0.0,16.0,0.0,-1.0109990822257084
9.0,1.0,50.0,0.0,1.2250124961463884
10.0,1.0,100.0,0.0,1.8404345964667592
10.0,0.0,100.0,0.0,0.11166950670472886
9.0,1.0,50.0,0.0,-1.5956834774018718
10.0,1.0,100.0,0.0,1.7144694581000712
8.0,0.0,19.0,0.0,-2.6190107578331494
6.0,0.0,90.0,0.0,2.2987395642719464
8.0,0.0,70.0,0.0,-0.5968316171545238
7.0,1.0,43.0,0.0,-0.8554004185273298
8.0,0.0,70.0,0.0,0.8771107067422806
6.0,1.0,90.0,0.0,0.6666236512286908
5.0,0.0,43.0,0.0,-1.4835657557805777
8.0,0.0,70.0,0.0,0.880066552769085
5.0,1.0,43.0,0.0,-0.8794835500528301
7.0,0.0,43.0,0.0,0.0006054115482586886
6.0,0.0,90.0,0.0,1.5757849513702713
8.0,1.0,19.0,0.0,-2.3242398003223803
1.0,1.0,16.0,0.0,-0.11189324713450743
9.0,0.0,50.0,0.0,1.1250352295090587
7.0,0.0,16.0,0.0,-1.1468701527434735
10.0,1.0,100.0,0.0,2.8315015778826016
10.0,0.0,100.0,0.0,0.07208191081370208
9.0,0.0,50.0,0.0,-1.5440900615498785
2.0,1.0,50.0,0.0,-0.004060293436260465
10.0,1.0,100.0,0.0,1.643592176277165
8.0,0.0,19.0,0.0,-2.5561983928939154
6.0,0.0,1.0,43.0,-1.0
2.0,0.0,50.0,0.0,0.0
4.0,0.0,2.0,0.0,-0.9858570438215617
8.0,0.0,19.0,0.0,0.7912688742187125
0.0,0.0,44.0,0.0,0.9713524033591457
0.0,1.0,44.0,0.0,0.15263862425445374
2.0,0.0,50.0,0.0,0.3507877789879217
9.0,1.0,50.0,0.0,-0.9316658830492629
9.0,1.0,50.0,0.0,0.05193731288918357
10.0,1.0,100.0,0.0,0.008818196533159184
9.0,0.0,4.0,0.0,-4.0
9.0,0.0,4.0,10.0,0.0
8.0,0.0,70.0,0.0,0.0
7.0,0.0,43.0,0.0,-0.4634600128514328
5.0,1.0,43.0,0.0,0.3392313641833618
2.0,1.0,11.0,0.0,-0.044249856341273264
0.0,1.0,0.0,4.0,0.1109457764812074
7.0,0.0,43.0,0.0,1.6027281692854378
6.0,1.0,90.0,0.0,0.3389070187643659
8.0,1.0,70.0,0.0,-0.37564034303748084
10.0,0.0,100.0,0.0,1.099269701466006
1.0,0.0,16.0,3.0,-1.675923100697472
2.0,1.0,50.0,0.0,1.0307323253248466
2.0,0.0,50.0,0.0,0.0007022942358747009
4.0,0.0,2.0,0.0,-1.6526973887816778
